NOx,C,E
0.53,12,0.535
0.37,12,0.562
0.374,12,0.568
0.678,12,0.584
1.192,12,0.601
0.923,9,0.602
0.563,9,0.608
0.561,9,0.629
0.571,12,0.637
1.9,12,0.655
1.777,12,0.676
1.587,12,0.684
1.59,15,0.686
1.369,18,0.693
1.527,7.5,0.694
0.926,12,0.696
1.139,12,0.696
1.419,15,0.715
1.397,15,0.729
2.219,9,0.733
1.62,9,0.749
2.295,7.5,0.761
1.634,7.5,0.762
1.732,18,0.765
1.869,18,0.767
2.064,15,0.795
3.361,15,0.797
3.677,7.5,0.804
3.148,7.5,0.808
2.202,9,0.808
2.471,15,0.811
3.76,15,0.812
3.517,15,0.813
3.388,15,0.816
3.931,15,0.846
3.423,9,0.868
3.519,9,0.872
3.206,7.5,0.878
3.656,7.5,0.892
3.567,7.5,0.893
3.488,18,0.899
3.741,18,0.907
3.536,18,0.911
3.669,18,0.93
4.028,9,0.934
3.952,9,0.968
3.623,9,0.977
3.732,9,0.99
3.12,7.5,1.001
2.964,7.5,1.002
3.29,7.5,1.002
2.836,15,1.006
2.845,18,1.009
2.881,18,1.016
2.581,15,1.03
2.739,15,1.036
2.085,7.5,1.037
2.358,7.5,1.042
2.157,7.5,1.045
2.571,7.5,1.045
1.947,7.5,1.07
1.836,7.5,1.071
1.806,7.5,1.072
1.962,18,1.074
1.719,18,1.081
1.498,18,1.108
1.39,12,1.115
1.17,12,1.123
1.2,9,1.125
0.981,9,1.138
1.013,9,1.142
1.021,15,1.144
1,15,1.152
0.866,15,1.152
0.756,15,1.168
0.812,15,1.175
0.797,7.5,1.18
0.966,7.5,1.181
0.76,9,1.189
0.727,7.5,1.199
0.586,18,1.201
0.606,18,1.215
0.962,7.5,1.219
0.754,9,1.227
0.414,12,1.229
0.672,15,1.23
0.638,18,1.231
0.542,18,1.232
